referenceCode,name,code,description,introduction,conclusion,endPhrase,isDynamic,version,allowBackNavigation,allowMultipleSessions,processingStrategy,isActive,tags,workflowId,submissionUrl,startQuestionReferenceCode,metadata
INSURANCE_SERVICE_PREAUTHORIZATION,Insurance Service Preauthorization,INSURANCE_SERVICE_PREAUTHORIZATION,Collect preauthorization details before treatment approval.,Please provide your insurance preauthorization details.,Preauthorization request submitted successfully.,STOP,false,1,true,false,STATIC,true,"[""insurance"",""billing"",""preauthorization""]",,,INSURANCE_SERVICE_PREAUTHORIZATION__patient_number,
WEEKLY_DISEASE_SURVEILLANCE_REPORT,Weekly Disease Surveillance Report,WEEKLY_DISEASE_SURVEILLANCE_REPORT,Capture weekly communicable disease surveillance data.,Enter this week's surveillance report.,Disease surveillance report received.,STOP,false,1,true,false,STATIC,true,"[""public-health"",""surveillance"",""epidemiology""]",,,WEEKLY_DISEASE_SURVEILLANCE_REPORT__field_officer_name,
PATIENT_REGISTRATION,Patient Registration,PATIENT_REGISTRATION,Register a new patient profile for hospital services.,Let's register your patient record.,Patient registration completed.,STOP,false,1,true,false,STATIC,true,"[""registration"",""patient""]",,,PATIENT_REGISTRATION__first_name,
PATIENT_CLOCK_IN,Patient Clock-In,PATIENT_CLOCK_IN,Log patient arrival and triage entry.,Please provide check-in details.,Patient clock-in recorded.,STOP,false,1,true,false,STATIC,true,"[""check-in"",""triage""]",,,PATIENT_CLOCK_IN__patient_number,
APPOINTMENT_SCHEDULING,Appointment Scheduling,APPOINTMENT_SCHEDULING,Book patient appointments with department and physician.,Provide details to schedule your appointment.,Appointment request submitted.,STOP,false,1,true,false,STATIC,true,"[""appointments"",""scheduling""]",,,APPOINTMENT_SCHEDULING__patient_number,
ANALYTICS_REPORT_REQUEST,Analytics Report Request,ANALYTICS_REPORT_REQUEST,Submit requests for operational and clinical analytics.,Tell us the analytics report you need.,Analytics request logged for processing.,STOP,false,1,true,false,STATIC,true,"[""analytics"",""reporting""]",,,ANALYTICS_REPORT_REQUEST__report_category,
CLINICAL_ORDER_CREATION,Clinical Order Creation,CLINICAL_ORDER_CREATION,Capture a structured clinical order.,Enter order details to proceed.,Clinical order created.,STOP,false,1,true,false,STATIC,true,"[""orders"",""clinical""]",,,CLINICAL_ORDER_CREATION__personnel_initiating_order,
ORDER_PAYMENT,Order Payment,ORDER_PAYMENT,Record payment details for a placed order.,Provide payment details for this order.,Order payment recorded successfully.,STOP,false,1,true,false,STATIC,true,"[""orders"",""payment""]",,,ORDER_PAYMENT__order_number,
GET_CURRENT_PRESCRIPTIONS,Get Current Prescriptions,GET_CURRENT_PRESCRIPTIONS,Retrieve active prescriptions for a patient.,Enter details to retrieve current prescriptions.,Prescription query submitted.,STOP,false,1,true,false,STATIC,true,"[""pharmacy"",""prescriptions""]",,,GET_CURRENT_PRESCRIPTIONS__patient_number,
QUERY_LAST_APPOINTMENT_SUMMARY,Query Last Appointment Summary,QUERY_LAST_APPOINTMENT_SUMMARY,Fetch summary of the latest completed appointment.,Provide patient details for last appointment summary.,Last appointment summary request submitted.,STOP,false,1,true,false,STATIC,true,"[""appointments"",""summary""]",,,QUERY_LAST_APPOINTMENT_SUMMARY__patient_number,
PATIENT_FEEDBACK_SURVEY,Patient Feedback Survey,PATIENT_FEEDBACK_SURVEY,Collect patient service satisfaction feedback.,Please share feedback about your hospital experience.,Thank you for your feedback.,STOP,false,1,true,false,STATIC,true,"[""feedback"",""quality""]",,,PATIENT_FEEDBACK_SURVEY__patient_number,
STAFF_INCIDENT_REPORT,Staff Incident Report,STAFF_INCIDENT_REPORT,Log incidents involving staff safety or operations.,Complete this incident report form.,Incident report submitted to administration.,STOP,false,1,true,false,STATIC,true,"[""staff"",""incident"",""safety""]",,,STAFF_INCIDENT_REPORT__reporting_staff_name,
MEDICATION_ADVERSE_EVENT_REPORT,Medication Adverse Event Report,MEDICATION_ADVERSE_EVENT_REPORT,Capture suspected adverse medication events.,Record details of the adverse medication event.,Adverse event report captured.,STOP,false,1,true,false,STATIC,true,"[""pharmacovigilance"",""safety""]",,,MEDICATION_ADVERSE_EVENT_REPORT__reporter_name,
REFERRAL_REQUEST,Referral Request,REFERRAL_REQUEST,Request interdepartmental or external patient referral.,Provide details for referral processing.,Referral request submitted.,STOP,false,1,true,false,STATIC,true,"[""referral"",""care-coordination""]",,,REFERRAL_REQUEST__patient_number,
MEDICAL_CERTIFICATE_REQUEST,Medical Certificate Request,MEDICAL_CERTIFICATE_REQUEST,Request issuance of a medical certificate.,Complete this request for medical certificate issuance.,Medical certificate request received.,STOP,false,1,true,false,STATIC,true,"[""documents"",""certificate""]",,,MEDICAL_CERTIFICATE_REQUEST__patient_number,
DISCHARGE_SUMMARY_QUERY,Discharge Summary Query,DISCHARGE_SUMMARY_QUERY,Retrieve discharge summary details for a past admission.,Provide admission details to retrieve discharge summary.,Discharge summary query submitted.,STOP,false,1,true,false,STATIC,true,"[""discharge"",""records""]",,,DISCHARGE_SUMMARY_QUERY__patient_number,
BED_AVAILABILITY_CHECK,Bed Availability Check,BED_AVAILABILITY_CHECK,Check bed availability by ward and urgency.,Enter requirements to check bed availability.,Bed availability request submitted.,STOP,false,1,true,false,STATIC,true,"[""admission"",""beds""]",,,BED_AVAILABILITY_CHECK__ward_type,
LAB_RESULT_QUERY,Lab Result Query,LAB_RESULT_QUERY,Request available laboratory test results.,Provide details to retrieve lab results.,Lab result request received.,STOP,false,1,true,false,STATIC,true,"[""laboratory"",""results""]",,,LAB_RESULT_QUERY__patient_number,
RADIOLOGY_ORDER_REQUEST,Radiology Order Request,RADIOLOGY_ORDER_REQUEST,Request and prioritize radiology imaging orders.,Enter details for the radiology request.,Radiology order submitted.,STOP,false,1,true,false,STATIC,true,"[""radiology"",""orders""]",,,RADIOLOGY_ORDER_REQUEST__personnel_initiating_order,
INSURANCE_ELIGIBILITY_CHECK,Insurance Eligibility Check,INSURANCE_ELIGIBILITY_CHECK,Verify active insurance eligibility before service.,Provide details for insurance eligibility verification.,Insurance eligibility check submitted.,STOP,false,1,true,false,STATIC,true,"[""insurance"",""eligibility""]",,,INSURANCE_ELIGIBILITY_CHECK__patient_number,
